Masked Input[3]: 40, Masked Output[3]: 6a
Masked Input[4]: 88, Masked Output[4]: 9f
Masked Input[5]: 69, Masked Output[5]: 2e
Masked Input[6]: 1b, Masked Output[6]: d6
Masked Input[7]: 87, Masked Output[7]: 1a
Masked Input[8]: d8, Masked Output[8]: d5
Masked Input[9]: e4, Masked Output[9]: 33
Masked Input[10]: 1d, Masked Output[10]: 5d
Masked Input[11]: 41, Masked Output[11]: db
Masked Input[12]: 7b, Masked Output[12]: 80
Masked Input[13]: 66, Masked Output[13]: cd
Masked Input[14]: 0c, Masked Output[14]: ba
Masked Input[15]: d6, Masked Output[15]: 30
Masked Input[0]: a2, Masked Output[0]: 2b
Masked Input[1]: e3, Masked Output[1]: 96
Masked Input[2]: 92, Masked Output[2]: 8b
Masked Input[3]: 55, Masked Output[3]: b0
Masked Input[4]: 05, Masked Output[4]: 76
Masked Input[5]: 2c, Masked Output[5]: 66
Masked Input[6]: 13, Masked Output[6]: a5
Masked Input[7]: e9, Masked Output[7]: 66
Masked Input[8]: 95, Masked Output[8]: 85
Masked Input[9]: 37, Masked Output[9]: e2
Masked Input[10]: d2, Masked Output[10]: 97
Masked Input[11]: cf, Masked Output[11]: 4f
Masked Input[12]: 56, Masked Output[12]: 25
Masked Input[13]: cf, Masked Output[13]: 85
Masked Input[14]: 05, Masked Output[14]: 23
Masked Input[15]: 35, Masked Output[15]: 2a
Masked Input[0]: 8b, Masked Output[0]: 9e
Masked Input[1]: 92, Masked Output[1]: 74
Masked Input[2]: aa, Masked Output[2]: 98
Masked Input[3]: 7f, Masked Output[3]: be
Masked Input[4]: e6, Masked Output[4]: 4e
Masked Input[5]: c1, Masked Output[5]: 4f
Masked Input[6]: 3c, Masked Output[6]: 41
Masked Input[7]: 25, Masked Output[7]: 7e
Masked Input[8]: 65, Masked Output[8]: c0
Masked Input[9]: 50, Masked Output[9]: 20
Masked Input[10]: 9d, Masked Output[10]: ca
Masked Input[11]: 42, Masked Output[11]: c0
Masked Input[12]: 95, Masked Output[12]: a6
Masked Input[13]: 1d, Masked Output[13]: 08
Masked Input[14]: 13, Masked Output[14]: d2
Masked Input[15]: 9a, Masked Output[15]: 7d
Masked Input[0]: 5c, Masked Output[0]: 3a
Masked Input[1]: fd, Masked Output[1]: 87
Masked Input[2]: 3f, Masked Output[2]: b2
Masked Input[3]: d9, Masked Output[3]: 48
Masked Input[4]: 37, Masked Output[4]: 67
Masked Input[5]: 53, Masked Output[5]: 5d
Masked Input[6]: 0e, Masked Output[6]: 1c
Masked Input[7]: 84, Masked Output[7]: c8
Masked Input[8]: 05, Masked Output[8]: 83
Masked Input[9]: 70, Masked Output[9]: b4
Masked Input[10]: 6b, Masked Output[10]: 44
Masked Input[11]: 07, Masked Output[11]: 6a
Masked Input[12]: 6b, Masked Output[12]: 54
Masked Input[13]: 8b, Masked Output[13]: ea
Masked Input[14]: 24, Masked Output[14]: b2
Masked Input[15]: 71, Masked Output[15]: b9
Masked Input[0]: 57, Masked Output[0]: 9d
Masked Input[1]: 5d, Masked Output[1]: 2c
Masked Input[2]: 3e, Masked Output[2]: 2e
Masked Input[3]: 2c, Masked Output[3]: 87
Masked Input[4]: 45, Masked Output[4]: b2
Masked Input[5]: 5d, Masked Output[5]: 82
Masked Input[6]: 4a, Masked Output[6]: 2e
Masked Input[7]: 03, Masked Output[7]: 4f
Masked Input[8]: 15, Masked Output[8]: 51
Masked Input[9]: 8f, Masked Output[9]: 58
Masked Input[10]: 39, Masked Output[10]: 34
Masked Input[11]: 93, Masked Output[11]: 0d
Masked Input[12]: 52, Masked Output[12]: 64
Masked Input[13]: a0, Masked Output[13]: be
Masked Input[14]: 84, Masked Output[14]: fb
Masked Input[15]: 84, Masked Output[15]: d3
Masked Input[0]: 88, Masked Output[0]: d6
Masked Input[1]: 65, Masked Output[1]: ee
Masked Input[2]: 95, Masked Output[2]: 53
Masked Input[3]: 22, Masked Output[3]: 31
Masked Input[4]: c6, Masked Output[4]: 2d
Masked Input[5]: 24, Masked Output[5]: d3
Masked Input[6]: 82, Masked Output[6]: a0
Masked Input[7]: 6b, Masked Output[7]: 55
Masked Input[8]: a7, Masked Output[8]: 05
Masked Input[9]: e0, Masked Output[9]: 8b
Masked Input[10]: 71, Masked Output[10]: 82
Masked Input[11]: 70, Masked Output[11]: 4a
Masked Input[12]: 93, Masked Output[12]: 1a
Masked Input[13]: d4, Masked Output[13]: 41
Masked Input[14]: 23, Masked Output[14]: fb
Masked Input[15]: e0, Masked Output[15]: 24
Masked Input[0]: 6f, Masked Output[0]: 11
Masked Input[1]: 01, Masked Output[1]: 0c
Masked Input[2]: 00, Masked Output[2]: 88
Masked Input[3]: 8e, Masked Output[3]: 75
Masked Input[4]: aa, Masked Output[4]: ff
Masked Input[5]: 6d, Masked Output[5]: 30
Masked Input[6]: 81, Masked Output[6]: af
Masked Input[7]: 2b, Masked Output[7]: 0d
Masked Input[8]: 29, Masked Output[8]: 67
Masked Input[9]: 85, Masked Output[9]: b0
Masked Input[10]: c4, Masked Output[10]: 07
Masked Input[11]: 80, Masked Output[11]: 38
Masked Input[12]: b8, Masked Output[12]: 16
Masked Input[13]: 12, Masked Output[13]: b4
Masked Input[14]: 0a, Masked Output[14]: 29
Masked Input[15]: 5e, Masked Output[15]: 75
Masked Input[0]: e4, Masked Output[0]: cd
Masked Input[1]: ab, Masked Output[1]: 14
Masked Input[2]: 11, Masked Output[2]: 2e
Masked Input[3]: 00, Masked Output[3]: a9
Masked Input[4]: 4a, Masked Output[4]: 01
Masked Input[5]: 60, Masked Output[5]: 2c
Masked Input[6]: d6, Masked Output[6]: 0c
Masked Input[7]: 25, Masked Output[7]: f8
Masked Input[8]: ab, Masked Output[8]: 17
Masked Input[9]: eb, Masked Output[9]: c6
Masked Input[10]: 6e, Masked Output[10]: 55
Masked Input[11]: 77, Masked Output[11]: dd
Masked Input[12]: 93, Masked Output[12]: 46
Masked Input[13]: ca, Masked Output[13]: 18
Masked Input[14]: db, Masked Output[14]: 89
Masked Input[15]: 93, Masked Output[15]: c6
Masked Input[0]: d3, Masked Output[0]: 21
Masked Input[1]: e6, Masked Output[1]: 20
Masked Input[2]: 37, Masked Output[2]: 9c
Masked Input[3]: 30, Masked Output[3]: af
Masked Input[4]: 49, Masked Output[4]: 8e
Masked Input[5]: e5, Masked Output[5]: 8d
Masked Input[6]: 3f, Masked Output[6]: 63
Masked Input[7]: 63, Masked Output[7]: 90
Masked Input[8]: 36, Masked Output[8]: 5c
Masked Input[9]: ee, Masked Output[9]: 1f
Masked Input[10]: 50, Masked Output[10]: f8
Masked Input[11]: 15, Masked Output[11]: 26
Masked Input[12]: b5, Masked Output[12]: c3
Masked Input[13]: ef, Masked Output[13]: 36
Masked Input[14]: 50, Masked Output[14]: e4
Masked Input[15]: fc, Masked Output[15]: e7
Masked Input[0]: 21, Masked Output[0]: d3
Masked Input[1]: 20, Masked Output[1]: e6
Masked Input[2]: 9c, Masked Output[2]: 37
Masked Input[3]: af, Masked Output[3]: 30
Masked Input[4]: 8e, Masked Output[4]: 49
Masked Input[5]: 8d, Masked Output[5]: e5
Masked Input[6]: 63, Masked Output[6]: 3f
Masked Input[7]: 90, Masked Output[7]: 63
Masked Input[8]: 5c, Masked Output[8]: 36
Masked Input[9]: 1f, Masked Output[9]: ee
Masked Input[10]: f8, Masked Output[10]: 50
Masked Input[11]: 26, Masked Output[11]: 15
Masked Input[12]: c3, Masked Output[12]: b5
Masked Input[13]: 36, Masked Output[13]: ef
Masked Input[14]: e4, Masked Output[14]: 50
Masked Input[15]: e7, Masked Output[15]: fc
BEGIN testing basic encryption...
Testing whether the encryption would come out correctly, for 14-round ARIA.
key      : 00112233 44556677 8899aabb ccddeeff 00112233 44556677
plaintext: 11111111 aaaaaaaa 11111111 bbbbbbbb
result is: 8d147062 5f59ebac b0e55b53 4b3e462b
should be: 8d147062 5f59ebac b0e55b53 4b3e462b
Okay.  The result is correct.
END   testing basic encryption.

BEGIN testing the roundtrip...
For key size of 256 bits, starting with the zero plaintext and the zero key, let's see if we may recover the plaintext by decrypting the encrypted ciphertext.
Masked Input[0]: b9, Masked Output[0]: 6b
Masked Input[1]: 9e, Masked Output[1]: 2d
Masked Input[2]: b2, Masked Output[2]: 4c
Masked Input[3]: 20, Masked Output[3]: bf
Masked Input[4]: fd, Masked Output[4]: 48
Masked Input[5]: 99, Masked Output[5]: e3
Masked Input[6]: eb, Masked Output[6]: f0
Masked Input[7]: b8, Masked Output[7]: 6c
Masked Input[8]: 7b, Masked Output[8]: e4
Masked Input[9]: 55, Masked Output[9]: 64
Masked Input[10]: 85, Masked Output[10]: 98
